Account Length,Day Mins,Day Calls,Eve Mins,Eve Calls,Night Mins,Night Calls,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn
128,265.1,110,197.4,99,244.7,91,10.0,3,2.7,1,0
107,161.6,123,195.5,103,254.4,103,13.7,3,3.7,1,0
137,243.4,114,121.2,110,162.6,104,12.2,5,3.29,0,0
84,299.4,71,61.9,88,196.9,89,6.6,7,1.78,2,0
75,166.7,113,148.3,122,186.9,121,10.1,3,2.73,3,0
118,223.4,98,220.6,101,203.9,118,6.3,6,1.7,0,0
121,218.2,88,348.5,108,212.6,118,7.5,7,2.03,3,0
147,157.0,79,103.1,94,211.8,96,7.1,6,1.92,0,0
117,184.5,97,351.6,80,215.8,90,8.7,4,2.35,1,0
141,258.6,84,222.0,111,326.4,97,11.2,5,3.02,0,0
65,129.1,137,228.5,83,208.8,111,12.7,6,3.43,4,1
74,187.7,127,163.4,148,196.0,94,9.1,5,2.46,0,0
168,128.8,96,104.9,71,141.1,128,11.2,2,3.02,1,0
95,156.6,88,247.6,75,192.3,115,12.3,5,3.32,3,0
62,120.7,70,307.2,76,203.0,99,13.1,6,3.54,4,0
161,332.9,67,317.8,97,160.6,128,5.4,9,1.46,4,1
85,196.4,139,280.9,90,89.3,75,13.8,4,3.73,1,0
93,190.7,114,218.2,111,129.6,121,8.1,3,2.19,3,0
76,189.7,66,212.8,65,165.7,108,10.0,5,2.7,1,0
73,224.4,90,159.5,88,192.8,74,13.0,2,3.51,1,0
147,155.1,117,239.7,93,208.8,133,10.6,4,2.86,0,0
77,62.4,89,169.9,121,209.6,64,5.7,6,1.54,5,1
130,183.0,112,72.9,99,181.8,78,9.5,19,2.57,0,0
111,110.4,103,137.3,102,189.6,105,7.7,6,2.08,2,0
132,81.1,86,245.2,72,237.0,115,10.3,2,2.78,0,0
174,124.3,76,277.1,112,250.7,115,15.5,5,4.19,3,0
57,213.0,115,191.1,112,182.7,115,9.5,3,2.57,0,0
54,134.3,73,155.5,100,102.1,68,14.7,4,3.97,3,0
20,190.0,109,258.2,84,181.5,102,6.3,6,1.7,0,0
49,119.3,117,215.1,109,178.7,90,11.1,1,3.0,1,0
142,84.8,95,136.7,63,250.5,148,14.2,6,3.83,2,0
75,226.1,105,201.5,107,246.2,98,10.3,5,2.78,1,0
172,212.0,121,31.2,115,293.3,78,12.6,10,3.4,3,0
12,249.6,118,252.4,119,280.2,90,11.8,3,3.19,1,1
57,176.8,94,195.0,75,213.5,116,8.3,4,2.24,0,0
72,220.0,80,217.3,102,152.8,71,14.7,6,3.97,3,0
36,146.3,128,162.5,80,129.3,109,14.5,6,3.92,0,0
78,130.8,64,223.7,116,227.8,108,10.0,5,2.7,1,0
136,203.9,106,187.6,99,101.7,107,10.5,6,2.84,3,0
149,140.4,94,271.8,92,188.3,108,11.1,9,3.0,1,0
98,126.3,102,166.8,85,187.8,135,9.4,2,2.54,3,0
135,173.1,85,203.9,107,122.2,78,14.6,15,3.94,0,1
34,124.8,82,282.2,98,311.5,78,10.0,4,2.7,2,0
160,85.8,77,165.3,110,178.5,92,9.2,4,2.48,3,0
64,154.0,67,225.8,118,265.3,86,3.5,3,0.95,1,0
59,120.9,97,213.0,92,163.1,116,8.5,5,2.3,2,0
65,211.3,120,162.6,122,134.7,118,13.2,5,3.56,3,0
142,187.0,133,134.6,74,242.2,127,7.4,5,2.0,2,0
119,159.1,114,231.3,117,143.2,91,8.8,3,2.38,5,1
97,133.2,135,217.2,58,70.6,79,11.0,3,2.97,1,0
